Timestamp,NodeID,RSSI,SNR,Reward,QValue
1.01593,4,-62.8473,31.1186,1,0.2
1.01593,0,-67.9253,26.0407,1,0.2
1.01593,3,-68.0591,25.9069,1,0.232
1.01593,2,-68.5277,25.4383,1,0.232
1.01593,7,-69.1158,24.8502,1,0.232
1.01593,1,-70.1722,23.7938,1,0.232
1.01593,6,-70.6201,23.3459,1,0.232
1.01593,8,-74.0097,19.9563,-1,-0.168
1.01593,5,-74.8164,19.1496,-1,-0.168
1.01613,7,-45.8344,48.1316,1,0.4176
1.01613,3,-52.6949,41.2711,1,0.4176
1.01613,1,-54.184,39.7819,1,0.4176
1.01613,8,-61.6979,32.2681,1,0.0976
1.01613,5,-63.2795,30.6865,1,0.0976
1.01613,4,-67.3783,26.5877,1,0.392
1.01613,9,-67.9332,26.0328,1,0.232
1.01613,2,-68.3689,25.597,1,0.4176
1.01613,6,-70.0665,23.8995,1,0.4176
1.01619,4,-62.8519,31.1141,1,0.5456
1.01619,0,-67.9346,26.0314,1,0.392
1.01619,3,-68.0631,25.9029,1,0.5968
1.01619,2,-68.5294,25.4365,1,0.5968
1.01619,7,-69.1309,24.8351,1,0.5968
1.01619,1,-70.1852,23.7808,1,0.5968
1.01619,6,-70.6219,23.3441,1,0.5968
1.01619,8,-74.02,19.946,-1,-0.0592
1.01619,5,-74.8247,19.1413,-1,-0.0592
1.01697,4,-62.8536,31.1124,1,0.6992
1.01697,0,-67.938,26.028,1,0.57632
1.01697,3,-68.0645,25.9014,1,0.769651
1.01697,2,-68.5301,25.4359,1,0.769651
1.01697,7,-69.1364,24.8295,1,0.769651
1.01697,1,-70.19,23.776,1,0.769651
1.01697,6,-70.6225,23.3435,1,0.769651
1.01697,8,-74.0238,19.9422,-1,-0.155149
1.01697,5,-74.8278,19.1382,-1,-0.155149
1.01728,7,-45.866,48.0999,1,0.907932
1.01728,3,-52.6919,41.2741,1,0.907932
1.01728,1,-54.1913,39.7747,1,0.907932
1.01728,8,-61.7139,32.252,1,0.168092
1.01728,5,-63.2868,30.6792,1,0.168092
1.01728,4,-67.3872,26.5787,1,0.851571
1.01728,9,-67.9429,26.0231,1,0.477811
1.01728,2,-68.3808,25.5852,1,0.907932
1.01728,6,-70.076,23.89,1,0.907932
1.01784,7,-45.8781,48.0878,1,1.01856
1.01784,3,-52.6907,41.2753,1,1.01856
1.01784,1,-54.1941,39.7719,1,1.01856
1.01784,8,-61.7201,32.2459,1,0.426685
1.01784,5,-63.2896,30.6764,1,0.426685
1.01784,4,-67.3907,26.5753,1,0.973468
1.01784,9,-67.9467,26.0193,1,0.67446
1.01784,2,-68.3853,25.5806,1,1.01856
1.01784,6,-70.0796,23.8864,1,1.01856
1.01815,4,-62.8604,31.1056,1,1.07099
1.01815,0,-67.9517,26.0143,1,0.753267
1.01815,3,-68.0704,25.8956,1,1.13537
1.01815,2,-68.5327,25.4333,1,1.13537
1.01815,7,-69.1588,24.8072,1,1.13537
1.01815,1,-70.2091,23.7569,1,1.13537
1.01815,6,-70.6252,23.3408,1,1.13537
1.01815,8,-74.0391,19.9269,-1,0.261871
1.01815,5,-74.84,19.126,-1,0.261871
1.01843,4,-62.8623,31.1037,1,1.17731
1.01843,4,-62.8623,31.1037,1,1.26237
1.01843,0,-67.9556,26.0104,1,0.923137
1.01843,0,-67.9556,26.0104,1,1.08621
1.01843,3,-68.0721,25.8939,1,1.28209
1.01843,3,-68.0721,25.8939,1,1.39946
1.01843,2,-68.5335,25.4325,1,1.28209
1.01843,2,-68.5335,25.4325,1,1.39946
1.01843,7,-69.1652,24.8008,1,1.28209
1.01843,7,-69.1652,24.8008,1,1.39946
1.01843,1,-70.2146,23.7513,1,1.28209
1.01843,1,-70.2146,23.7513,1,1.39946
1.01843,6,-70.6259,23.3401,1,1.28209
1.01843,6,-70.6259,23.3401,1,1.39946
1.01843,8,-74.0435,19.9225,-1,0.18329
1.01843,8,-74.0435,19.9225,-1,0.120426
1.01843,5,-74.8436,19.1224,-1,0.18329
1.01843,5,-74.8436,19.1224,-1,0.120426
1.01848,7,-45.9133,48.0527,1,1.49337
1.01848,3,-52.6874,41.2786,1,1.49337
1.01848,1,-54.2022,39.7638,1,1.49337
1.01848,8,-61.7379,32.2281,1,0.470135
1.01848,5,-63.2978,30.6682,1,0.470135
1.01848,4,-67.4006,26.5654,1,1.38369
1.01848,9,-67.9576,26.0084,1,0.913362
1.01848,2,-68.3985,25.5675,1,1.49337
1.01848,6,-70.0901,23.8759,1,1.49337
1.02209,7,-46.0078,47.9582,1,1.56849
1.02209,3,-52.6784,41.2876,1,1.56849
1.02209,1,-54.2243,39.7417,1,1.56849
1.02209,8,-61.7858,32.1802,1,0.749901
1.02209,5,-63.3198,30.6462,1,0.749901
1.02209,4,-67.4274,26.5386,1,1.48075
1.02209,9,-67.9869,25.9791,1,1.10448
1.02209,2,-68.434,25.532,1,1.56849
1.02209,6,-70.1183,23.8477,1,1.56849
1.02221,4,-62.8819,31.0841,1,1.55839
1.02221,0,-67.9948,25.9712,1,1.24276
1.02221,3,-68.0891,25.8768,1,1.65363
1.02221,2,-68.541,25.425,1,1.65363
1.02221,7,-69.2288,24.7372,1,1.65363
1.02221,1,-70.2694,23.6966,1,1.65363
1.02221,6,-70.6335,23.3325,1,1.65363
1.02221,8,-74.087,19.879,-1,0.598763
1.02221,5,-74.8787,19.0873,-1,0.598763
1.02226,7,-46.0353,47.9307,1,1.72175
1.02226,3,-52.6758,41.2902,1,1.72175
1.02226,1,-54.2307,39.7353,1,1.72175
1.02226,8,-61.7997,32.1663,1,0.877853
1.02226,5,-63.3262,30.6397,1,0.877853
1.02226,4,-67.4352,26.5308,1,1.64555
1.02226,9,-67.9955,25.9705,1,1.28243
1.02226,2,-68.4443,25.5217,1,1.72175
1.02226,6,-70.1265,23.8395,1,1.72175
1.02281,7,-46.0387,47.9273,1,1.77624
1.02281,3,-52.6755,41.2905,1,1.77624
1.02281,1,-54.2315,39.7345,1,1.77624
1.02281,8,-61.8014,32.1646,1,1.10112
1.02281,5,-63.327,30.639,1,1.10112
1.02281,4,-67.4361,26.5298,1,1.71529
1.02281,9,-67.9965,25.9695,1,1.42478
1.02281,2,-68.4456,25.5204,1,1.77624
1.02281,6,-70.1275,23.8385,1,1.77624
1.02313,4,-62.8853,31.0807,1,1.77107
1.02313,0,-68.0015,25.9645,1,1.39305
1.02313,3,-68.0921,25.8739,1,1.84388
1.02313,2,-68.5422,25.4237,1,1.84388
1.02313,7,-69.2396,24.7264,1,1.84388
1.02313,1,-70.2787,23.6873,1,1.84388
1.02313,6,-70.6348,23.3312,1,1.84388
1.02313,8,-74.0944,19.8715,-1,0.903788
1.02313,5,-74.8846,19.0814,-1,0.903788
1.02387,4,-62.8881,31.0779,1,1.83974
1.02387,0,-68.0071,25.9589,1,1.53733
1.02387,3,-68.0945,25.8715,1,1.92108
1.02387,2,-68.5433,25.4227,1,1.92108
1.02387,7,-69.2486,24.7174,1,1.92108
1.02387,1,-70.2865,23.6795,1,1.92108
1.02387,6,-70.6359,23.3301,1,1.92108
1.02387,8,-74.1006,19.8654,-1,0.769003
1.02387,5,-74.8896,19.0764,-1,0.769003
1.02418,7,-46.0885,47.8775,1,1.98283
1.02418,3,-52.6708,41.2952,1,1.98283
